DATE,TIME,OPEN,HIGH,LOW,CLOSE,VOLUME
2020-03-02,13:01:00,134.29,134.32,134.29,134.32,259
2020-03-02,13:02:00,134.32,134.32,134.29,134.29,82
2020-03-02,13:03:00,134.29,134.3,134.29,134.3,79
2020-03-02,13:04:00,134.3,134.36,134.3,134.33,469
2020-03-02,13:05:00,134.33,134.33,134.29,134.3,115
2020-03-02,13:06:00,134.3,134.3,134.28,134.28,120
2020-03-02,13:07:00,134.27,134.29,134.25,134.26,366
2020-03-02,13:08:00,134.26,134.28,134.25,134.28,233
2020-03-02,13:09:00,134.28,134.29,134.26,134.27,40
2020-03-02,13:10:00,134.28,134.28,134.27,134.28,46
2020-03-02,13:11:00,134.28,134.29,134.26,134.26,94
2020-03-02,13:12:00,134.26,134.27,134.24,134.25,202
2020-03-02,13:13:00,134.25,134.29,134.25,134.29,198
2020-03-02,13:14:00,134.28,134.29,134.27,134.28,144
2020-03-02,13:15:00,134.27,134.27,134.21,134.21,461
2020-03-02,13:16:00,134.21,134.22,134.17,134.18,525
2020-03-02,13:17:00,134.18,134.21,134.17,134.17,482
2020-03-02,13:18:00,134.16,134.22,134.16,134.2,478
2020-03-02,13:19:00,134.19,134.21,134.18,134.19,201
2020-03-02,13:20:00,134.19,134.19,134.16,134.16,127
2020-03-02,13:21:00,134.16,134.17,134.14,134.16,463
2020-03-02,13:22:00,134.16,134.17,134.15,134.16,190
2020-03-02,13:23:00,134.17,134.17,134.15,134.16,65
2020-03-02,13:24:00,134.17,134.19,134.17,134.18,400
2020-03-02,13:25:00,134.18,134.19,134.18,134.19,129
2020-03-02,13:26:00,134.19,134.2,134.18,134.19,118
2020-03-02,13:27:00,134.19,134.19,134.18,134.18,78
2020-03-02,13:28:00,134.18,134.23,134.18,134.22,355
2020-03-02,13:29:00,134.22,134.25,134.21,134.22,488
2020-03-02,13:30:00,134.22,134.27,134.22,134.27,680
2020-03-02,13:31:00,134.27,134.28,134.25,134.25,790
2020-03-02,13:32:00,134.25,134.28,134.24,134.27,361
2020-03-02,13:33:00,134.27,134.27,134.24,134.26,438
2020-03-02,13:34:00,134.26,134.27,134.25,134.26,77
2020-03-02,13:35:00,134.27,134.29,134.27,134.28,353
2020-03-02,13:36:00,134.29,134.34,134.29,134.33,466
2020-03-02,13:37:00,134.32,134.35,134.32,134.35,235
2020-03-02,13:38:00,134.35,134.36,134.34,134.35,219
2020-03-02,13:39:00,134.34,134.37,134.34,134.37,209
2020-03-02,13:40:00,134.37,134.38,134.33,134.38,439
2020-03-02,13:41:00,134.38,134.4,134.37,134.39,478
2020-03-02,13:42:00,134.39,134.4,134.36,134.38,548
2020-03-02,13:43:00,134.38,134.38,134.36,134.37,212
2020-03-02,13:44:00,134.36,134.36,134.34,134.35,227
2020-03-02,13:45:00,134.36,134.39,134.36,134.39,239
2020-03-02,13:46:00,134.37,134.38,134.36,134.38,143
2020-03-02,13:47:00,134.37,134.38,134.36,134.36,259
2020-03-02,13:48:00,134.36,134.38,134.36,134.38,80
2020-03-02,13:49:00,134.37,134.39,134.36,134.38,166
2020-03-02,13:50:00,134.39,134.41,134.37,134.37,350
2020-03-02,13:51:00,134.38,134.39,134.34,134.35,278
2020-03-02,13:52:00,134.35,134.35,134.29,134.29,915
2020-03-02,13:53:00,134.29,134.3,134.23,134.23,638
2020-03-02,13:54:00,134.24,134.24,134.21,134.23,243
2020-03-02,13:55:00,134.22,134.23,134.13,134.15,1613
2020-03-02,13:56:00,134.15,134.16,134.11,134.16,462
2020-03-02,13:57:00,134.17,134.18,134.16,134.18,162
2020-03-02,13:58:00,134.18,134.18,134.12,134.12,324
2020-03-02,13:59:00,134.12,134.16,134.12,134.16,440
2020-03-02,14:00:00,134.17,134.18,134.17,134.17,260
2020-03-02,14:01:00,134.18,134.18,134.12,134.13,468
2020-03-02,14:02:00,134.13,134.13,134.08,134.08,598
2020-03-02,14:03:00,134.09,134.1,134.06,134.06,337
2020-03-02,14:04:00,134.06,134.06,134.02,134.06,857
2020-03-02,14:05:00,134.07,134.09,134.06,134.08,395
2020-03-02,14:06:00,134.09,134.09,133.97,133.97,990
2020-03-02,14:07:00,133.97,134.06,133.97,134.05,307
2020-03-02,14:08:00,134.03,134.05,134.02,134.03,221
2020-03-02,14:09:00,134.04,134.04,134.02,134.04,325
2020-03-02,14:10:00,134.05,134.09,134.04,134.09,558
2020-03-02,14:11:00,134.09,134.1,134.08,134.08,204
2020-03-02,14:12:00,134.08,134.08,134.04,134.04,257
2020-03-02,14:13:00,134.03,134.08,134.03,134.07,126
2020-03-02,14:14:00,134.07,134.09,134.06,134.06,198
2020-03-02,14:15:00,134.06,134.07,134.05,134.06,112
2020-03-02,14:16:00,134.07,134.07,134.07,134.07,41
2020-03-02,14:17:00,134.07,134.08,134.07,134.08,54
2020-03-02,14:18:00,134.08,134.08,134.07,134.08,225
2020-03-02,14:19:00,134.08,134.08,134.07,134.07,183
2020-03-02,14:20:00,134.07,134.07,134.04,134.04,184
2020-03-02,14:21:00,134.04,134.08,134.04,134.05,339
2020-03-02,14:22:00,134.05,134.05,134.03,134.03,156
2020-03-02,14:23:00,134.04,134.04,133.99,133.99,479
2020-03-02,14:24:00,133.99,134.03,133.99,134.02,231
2020-03-02,14:25:00,134.02,134.02,133.98,133.98,784
2020-03-02,14:26:00,133.98,134.01,133.97,133.97,1127
2020-03-02,14:27:00,133.96,133.97,133.95,133.95,483
2020-03-02,14:28:00,133.96,133.96,133.9,133.91,624
2020-03-02,14:29:00,133.92,133.92,133.89,133.92,808
2020-03-02,14:30:00,133.92,133.93,133.89,133.9,561
2020-03-02,14:31:00,133.9,133.94,133.89,133.94,606
2020-03-02,14:32:00,133.94,133.96,133.94,133.95,223
2020-03-02,14:33:00,133.95,133.95,133.94,133.94,93
2020-03-02,14:34:00,133.95,133.97,133.94,133.97,167
2020-03-02,14:35:00,133.97,133.97,133.95,133.95,289
2020-03-02,14:36:00,133.95,133.95,133.91,133.92,260
2020-03-02,14:37:00,133.92,133.94,133.92,133.93,241
2020-03-02,14:38:00,133.94,133.95,133.93,133.94,107
2020-03-02,14:39:00,133.94,133.96,133.94,133.96,82
2020-03-02,14:40:00,133.95,133.96,133.95,133.95,219
2020-03-02,14:41:00,133.95,133.95,133.94,133.94,70
2020-03-02,14:42:00,133.94,133.94,133.93,133.94,280
2020-03-02,14:43:00,133.94,133.95,133.94,133.95,288
2020-03-02,14:44:00,133.96,133.96,133.92,133.92,615
2020-03-02,14:45:00,133.91,133.95,133.89,133.94,835
2020-03-02,14:46:00,133.95,134.02,133.95,134.02,697
2020-03-02,14:47:00,134.02,134.02,133.99,134,442
2020-03-02,14:48:00,134,134.01,134,134.01,94
2020-03-02,14:49:00,134.02,134.03,134.01,134.01,205
2020-03-02,14:50:00,134.01,134.02,134.01,134.02,92
2020-03-02,14:51:00,134.03,134.07,134.02,134.05,371
2020-03-02,14:52:00,134.05,134.05,134.04,134.05,149
2020-03-02,14:53:00,134.06,134.06,134.05,134.05,80
2020-03-02,14:54:00,134.05,134.06,134.04,134.05,369
2020-03-02,14:55:00,134.05,134.05,134,134.02,332
2020-03-02,14:56:00,134.01,134.01,133.98,134,394
2020-03-02,14:57:00,134,134,134,134,136
2020-03-02,14:58:00,134,134,133.99,133.99,47
2020-03-02,14:59:00,134,134,133.99,133.99,107
2020-03-02,15:00:00,134,134,133.97,133.97,113
2020-03-02,15:01:00,133.97,133.98,133.94,133.96,362
2020-03-02,15:02:00,133.94,133.96,133.94,133.96,283
2020-03-02,15:03:00,133.96,133.96,133.92,133.93,253
2020-03-02,15:04:00,133.93,133.94,133.9,133.91,220
2020-03-02,15:05:00,133.91,133.92,133.85,133.86,1178
2020-03-02,15:06:00,133.87,133.9,133.87,133.89,342
2020-03-02,15:07:00,133.89,133.92,133.89,133.89,350
2020-03-02,15:08:00,133.89,133.89,133.88,133.88,169
2020-03-02,15:09:00,133.87,133.87,133.81,133.83,940
2020-03-02,15:10:00,133.84,133.87,133.82,133.87,350
2020-03-02,15:11:00,133.86,133.91,133.85,133.91,468
2020-03-02,15:12:00,133.91,133.92,133.88,133.88,354
2020-03-02,15:13:00,133.88,133.88,133.86,133.86,203
2020-03-02,15:14:00,133.87,133.89,133.87,133.89,141
2020-03-02,15:15:00,133.88,133.88,133.77,133.8,733
2020-03-02,15:16:00,133.79,133.79,133.73,133.73,887
2020-03-02,15:17:00,133.73,133.74,133.66,133.67,1073
2020-03-02,15:18:00,133.68,133.71,133.68,133.71,366
2020-03-02,15:19:00,133.71,133.71,133.65,133.67,659
2020-03-02,15:20:00,133.68,133.7,133.68,133.69,215
2020-03-02,15:21:00,133.69,133.73,133.69,133.73,496
2020-03-02,15:22:00,133.73,133.81,133.73,133.81,836
2020-03-02,15:23:00,133.82,133.91,133.82,133.91,1353
2020-03-02,15:24:00,133.91,133.92,133.86,133.87,687
2020-03-02,15:25:00,133.86,133.86,133.83,133.85,361
